st,stateabbrv,statename,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M,combined_le_F,combined_le_M,combined_le_FM
1,AL,Alabama,81.20861053,82.22805786,83.8563385,84.47480774,85.35707855,85.80813599,86.89996338,87.2244339,74.19429779,75.37608337,78.72692871,79.4305191,81.75519562,82.26296234,84.1163559,84.49781036,0.091293953,0.116667978,0.10264802,0.109651037,0.121131137,0.124349453,0.149738654,0.150353581,0.068455532,0.108364098,0.089632198,0.105270959,0.115985453,0.125733107,0.13311483,0.13747026,3419114,2803243,2520347,2119247,2862389,2728540,2481761,2005954,84.33049774,79.6981945,82.01434612
2,AK,Alaska,82.58357239,82.34895325,83.8151474,83.71201324,85.85453796,85.58583832,87.15708923,87.16876984,76.53103638,76.63938904,80.32373047,80.52437592,82.33080292,82.44509888,85.3984375,85.57582855,0.338390857,0.339557111,0.368076533,0.373821646,0.307074785,0.321403116,0.299407959,0.298844904,0.254431278,0.253404409,0.294636846,0.29335475,0.278077275,0.276343912,0.259997606,0.255466133,287869,364928,439382,528988,339042,374547,484283,537646,84.85258675,81.14600182,82.99929428
4,AZ,Arizona,82.64610291,82.15131378,84.39892578,84.14718628,85.8769455,85.78168488,87.41204834,87.43513489,77.44506073,77.00762939,80.67459106,80.47463226,82.73809052,82.70046234,85.12698364,85.23002625,0.096449837,0.114129901,0.108588003,0.119300522,0.109098732,0.115789555,0.120675527,0.124586634,0.076080568,0.088039763,0.092998669,0.099302582,0.106985331,0.109966755,0.111824244,0.112571955,3281760,3395651,3120125,3014634,3288830,3113884,2943030,2875894,85.08350563,81.49618149,83.28984356
5,AR,Arkansas,80.59529877,81.31076813,83.67511749,84.1236496,85.25621033,85.63734436,87.32422638,87.60146332,74.98880005,75.76370239,79.10002136,79.60691071,81.67455292,82.11506653,83.79675293,84.15844727,0.108191051,0.116728231,0.132335171,0.13867043,0.164710179,0.163455784,0.192949533,0.188900083,0.087307453,0.109338105,0.113187589,0.126329273,0.15040496,0.160087362,0.188880801,0.191634908,2070245,1804408,1490854,1025154,1882283,1762111,1408915,949898,84.21271324,79.89003181,82.05137253
6,CA,California,84.43625641,82.94646454,84.85812378,83.53072357,86.08279419,84.96513367,87.83970642,86.93984222,79.96179199,78.73162079,81.35150909,80.36486816,83.10151672,82.36922455,85.6248703,85.16173553,0.042002473,0.180721775,0.048643224,0.183262303,0.048499428,0.172989011,0.043219864,0.178715378,0.033241622,0.118116312,0.043159887,0.12632297,0.045641381,0.123499684,0.042866692,0.130121365,20215088,18383557,18250582,23014857,20578421,17762051,17285647,22682795,85.8042202,82.50992203,84.15707111
8,CO,Colorado,82.91915894,82.38781738,85.03424072,84.83904266,86.57110596,86.47332001,88.50710297,88.5556488,78.06256104,77.59934235,81.58446503,81.44841766,84.03295135,84.0016861,86.51972198,86.6364212,0.121074229,0.137890905,0.12362355,0.12867339,0.119259454,0.124242038,0.112448707,0.113983057,0.093545876,0.101449922,0.108010136,0.110977627,0.11199899,0.11346551,0.112935953,0.113563605,2259475,2756610,3056413,3490654,2328427,2657580,2974157,3396603,85.75790215,82.54992485,84.1539135
9,CT,Connecticut,82.61118317,82.56622314,84.40129852,84.57511139,86.08731842,86.28475952,87.94557953,88.11147308,77.37245178,77.37821198,80.43161011,80.64698792,82.97740173,83.23539734,85.78501129,86.0140686,0.147217289,0.147235468,0.138137698,0.135583088,0.132052124,0.132474229,0.115038849,0.117510661,0.123091824,0.122713253,0.119306006,0.120496094,0.119280688,0.12239413,0.108824819,0.112869792,1434310,1913025,2419573,3500466,1368737,1743518,2275935,3358897,85.26134491,81.64161873,83.45148182
10,DE,Delaware,81.02888489,81.68573761,83.49124908,84.00577545,85.45802307,85.8890152,87.63048553,87.7177887,74.90431976,75.66727448,79.42883301,79.99835205,82.30200195,82.78881836,85.02787781,85.23468781,0.237675801,0.235273212,0.249814704,0.244784653,0.25260511,0.245443553,0.269596279,0.268804193,0.201204345,0.206276178,0.225324973,0.225697011,0.237135142,0.235046089,0.241157413,0.238135219,449706,546751,579557,608615,404807,482162,544101,576733,84.40216064,80.41575813,82.40895939
11,DC,District Of Columbia,80.29558563,81.95927429,83.29329681,84.54844666,84.89648438,85.87091827,87.84198761,88.30033875,74.65273285,76.54684448,78.3239975,79.80735779,81.60903931,82.68695831,86.44869995,86.92711639,0.291107178,0.362453014,0.303327143,0.349470317,0.357270271,0.370313466,0.326797634,0.317745447,0.224420086,0.308716118,0.309318244,0.364005953,0.401376635,0.405213594,0.309936643,0.298475713,334980,319991,249932,338132,362550,257422,188010,327016,84.08183861,80.2586174,82.170228
12,FL,Florida,83.12566376,82.85592651,84.63407135,84.43062592,86.05415344,85.91119385,87.67614746,87.59913635,77.32962799,77.18788147,80.24153137,80.13192749,82.47621155,82.42183685,85.07917786,85.07896423,0.046982791,0.076888077,0.058209009,0.074846141,0.062023643,0.074028008,0.068061315,0.076711327,0.038810715,0.055299439,0.049775045,0.060188737,0.060044758,0.065617904,0.065163925,0.06917683,13398561,11438087,9454997,8610905,12807322,10520680,8736183,8228656,85.372509,81.28163719,83.3270731
13,GA,Georgia,81.46613312,82.42391968,83.85402679,84.40407562,85.45111847,85.81589508,87.50039673,87.69195557,75.08753204,76.1453476,79.10002899,79.73519135,81.88491821,82.32180786,84.74378204,85.02696991,0.068953611,0.107467785,0.08295878,0.094410665,0.098216511,0.101913176,0.099503033,0.10144227,0.057162162,0.096361138,0.077092715,0.093067661,0.086946286,0.09396226,0.094089277,0.096809074,6031611,5297417,4879944,4898034,5183943,4910552,4599771,4771151,84.56791878,80.20406532,82.38599205
15,HI,Hawaii,84.21430969,80.95252228,86.03199768,82.58419037,86.85604095,83.28809357,88.4631958,85.24776459,78.47579956,76.63913727,81.30819702,79.47097015,83.25889587,81.50917053,85.6738205,84.15811157,0.203297973,0.680633664,0.217672184,0.777115881,0.233827084,0.856388271,0.220165461,0.853656948,0.172391698,0.422056049,0.201009095,0.542409778,0.213751957,0.603773117,0.221701741,0.586455882,707725,832662,823927,780904,706804,800000,842325,736583,86.39138603,82.17917824,84.28528214
